Feature ID	Area	Feature	User Story	Expected Behavior	Implementation Evidence	Existing Automated Coverage	Implementation Status	Test Status	Defect Log	Fix Status	Retest Status	Notes
F001	Launch and onboarding	CloudKit existing-home recovery	As a returning user with iCloud data, I want Cubby to look for existing homes before starting a new inventory.	When onboarding is incomplete, there are no local homes, and CloudKit is enabled, the app shows "Looking for your homes" before allowing a new home setup after a delay.	Cubby/CubbyApp.swift LaunchContentView and ExistingHomesRecoveryView	CubbyUITests/CoreUserBehaviorUITests.swift: forced recovery screen UI test	Documented and covered	Passed focused UI test	None recorded	No fix required	Passed	CloudKit path is exercised with DEBUG-only FORCE_EXISTING_HOMES_RECOVERY to avoid iCloud account dependence; xcresult 2026.06.21_13-53-24 passed.
F002	Launch and onboarding	Set up new home after recovery wait	As a new user after CloudKit recovery, I want an explicit way to create a fresh home.	After the recovery delay, "Set Up a New Home" switches to the standard onboarding home-name form.	Cubby/CubbyApp.swift ExistingHomesRecoveryView	CubbyUITests/CoreUserBehaviorUITests.swift: forced recovery setup UI test	Documented and covered	Passed focused UI test	None recorded	No fix required	Passed	Verified 3-second recovery gate reveals Set Up a New Home and completes onboarding; xcresult 2026.06.21_13-53-24 passed.
F003	Launch and onboarding	Onboarding first home	As a first-time user, I want to name my first home so my inventory has a root container.	Entering a non-empty trimmed home name and tapping Get Started creates a home through AppStore, creates the default location in the repository, and marks onboarding complete.	Cubby/Views/Onboarding/OnboardingView.swift; Cubby/AppData/CoreDataAppRepository.swift	CubbySnapshotTests; CoreUserBehaviorUITests	Documented from code	UI tests passed 2026-06-21 on iPhone 16e simulator for onboarding visibility and first-home form submission	None recorded	Not needed	Passed	Save errors are only logged with no visible onboarding error message; failure path still needs fault-injection validation.
F004	Launch and onboarding	Auto-complete onboarding when homes exist	As a returning user with existing local data, I want Cubby to skip onboarding and open my inventory.	If homes become available while onboarding is incomplete, Cubby chooses a preferred home, stores lastUsedHomeId, and marks onboarding complete.	Cubby/CubbyApp.swift LaunchContentView; Cubby/Services/HomeLaunchSelectionService.swift	HomeLaunchSelectionServiceTests	Documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	Preferred-home selection is unit-covered; full LaunchContentView auto-complete UI path still needs direct validation.
F005	Launch and onboarding	Runtime initialization failure	As a user, I want a clear message if the runtime data stack cannot start.	If AppStore/Core Data setup fails, the app shows "Cubby Couldn't Start" with relaunch guidance.	Cubby/CubbyApp.swift RuntimeInitializationFailureView	CubbyUITests/CoreUserBehaviorUITests.swift: runtime initialization failure UI test	Documented and covered	Passed focused UI test	None recorded	No fix required	Passed	Exercised fallback by launching with USE_CORE_DATA_SHARING_STACK=0; xcresult 2026.06.21_13-53-24 passed.
F006	Launch and onboarding	UI testing seed mode	As a tester, I want deterministic seeded data for UI tests and snapshots.	UI-TESTING or -ui_testing uses in-memory storage, clears defaults, seeds data unless disabled, and marks onboarding complete unless SNAPSHOT_ONBOARDING is present.	Cubby/CubbyApp.swift; Cubby/Utils/MockDataGenerator.swift	CubbyUITests; CubbySnapshotTests; CoreUserBehaviorUITests	Documented from code	UI tests passed 2026-06-21 on iPhone 16e simulator across onboarding, seeded, empty, item-limit, missing-photo, shared, and hard-paywall launch states	None recorded	Not needed	Passed	Seed priority is encoded in CubbyApp.
F007	Launch and onboarding	Persistent mock seed mode	As a developer, I want to preview seeded data outside UI tests.	SEED_MOCK_DATA and specialized seed arguments clear SwiftData seed data, create deterministic homes/locations/items, and set lastUsedHomeId.	Cubby/CubbyApp.swift; Cubby/Utils/MockDataGenerator.swift	CubbySnapshotTests uses seeded mock data	Documented from code	UI tests passed 2026-06-21 on iPhone 16e simulator using SEED_MOCK_DATA, SEED_ITEM_LIMIT_REACHED, and SEED_MISSING_LOCAL_PHOTO	None recorded	Not needed	Passed partial	Persistent non-UI-test seeding path still needs manual simulator validation.
F008	Persistence and migration	Core Data sharing stack startup	As a user, I want production runtime persistence to use Core Data and CloudKit sharing.	When the sharing stack is enabled, the app creates a PersistenceController, migrates legacy SwiftData data when needed, wires AppStore to CoreDataAppRepository, and starts remote-change handling.	Cubby/CubbyApp.swift; Cubby/Services/PersistenceController.swift; Cubby/AppData/CoreDataAppRepository.swift	PersistenceControllerTests; CoreDataAppRepositoryTests	Documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	FeatureGate enables the Core Data sharing stack by default; full app startup with production CloudKit remains integration-level.
F009	Persistence and migration	Private and shared stores	As a user sharing homes, I want owned and shared records stored in the correct CloudKit scopes.	The runtime creates Private.sqlite with private CloudKit scope and Shared.sqlite with shared CloudKit scope; repository objects preserve store placement for home/location/item graphs.	Cubby/Services/PersistenceController.swift; Cubby/AppData/CoreDataAppRepository.swift	PersistenceControllerTests; CoreDataModelTests; CoreDataAppRepositoryTests	Documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	Store descriptions and repository placement are unit-covered; real CloudKit sync remains integration-level.
F010	Persistence and migration	Legacy SwiftData migration	As an existing user, I want legacy SwiftData homes, locations, items, photos, emoji, and tags copied into Core Data.	Migration opens the legacy store when available, upserts homes, locations, parent relationships, and items into the private store, records completion, and retries later if the source is unavailable.	Cubby/Services/DataMigrationService.swift	DataMigrationTests	Documented from code	Unit tests passed 2026-06-21 on iPhone 16e simulator	None recorded	Not needed	Passed partial	Core migration paths are unit-covered; live upgrade from an installed legacy app store remains integration-level.
F011	Persistence and migration	Migration recovery message	As a user, I want Cubby to recover if migration fails.	On migration failure, Cubby resets Core Data stores, posts a recovery message, and AppStore refreshes while exposing recoveryMessage.	Cubby/Services/DataMigrationService.swift; Cubby/AppData/AppStore.swift; Cubby/Views/Home/HomeSearchContainer.swift	DataMigrationTests; CubbyTests/AppStoreRecoveryTests.swift; CubbyUITests/CoreUserBehaviorUITests.swift	Documented and fixed	Passed focused unit and UI tests	D013: recoveryMessage was held in AppStore but not surfaced to the user	Fixed	Passed	Added Storage Recovered alert and DEBUG-only FORCE_MIGRATION_RECOVERY_MESSAGE hook; unit xcresult 2026.06.21_13-52-39 and UI xcresult 2026.06.21_13-55-17 passed.
